Order ID,Product ID,Product Category,Quantity,Unit Price,Total Price,Order Date,Customer ID,Payment Type,Order Status,Month
873ff350-854d-4bd8-aebf-6cc5e1a6d3b7,26ab320e-62f2-4203-be68-f8740085d796,Sports & Outdoors,4,154.05050900208764,616.2020360083505,2023-08-02,292fe8cf-4d60-437b-8488-4c225e84d48d,Credit Card,Completed,2023-08
b80f6f1d-8052-44a1-9e30-35fd58f6a77a,a9a3910b-76da-44a7-a7a8-c68d8088bcdd,Sports & Outdoors,1,134.8628158437023,134.8628158437023,2023-05-17,c1fd1416-d468-4cb2-8edb-da436fc8caa4,Credit Card,Completed,2023-05
542d294e-4363-4dcb-99d4-5caa30e5c9c3,33a72e34-6a7e-4003-b8f4-0dc18082d193,Clothing,4,315.48926129575875,1261.957045183035,2023-05-24,f3ac55a5-33e7-4cd1-985f-d312d4f303bf,PayPal,Completed,2023-05
7493ca62-ef6b-42b4-ae50-59f279c1e0a2,2210049f-18e5-496b-b3e1-622485ac8043,Clothing,3,433.2336695072888,1299.7010085218665,2023-06-11,2ce2271d-423f-4fc7-9b22-c433e90acdf0,Credit Card,Completed,2023-06
a35b2d5f-9b7d-46be-9cd0-d65752ad8c8b,37343169-7805-471d-a415-684becc73054,Books,1,417.38784921053576,417.38784921053576,2023-04-22,16b3a153-a3d6-4531-b771-01e01fbcdbf0,Debit Card,Completed,2023-04
187c575d-20de-4c47-8b73-dd0261190b92,e2e0a612-1e56-4da7-852a-a66c9652d306,Clothing,3,135.38267604891377,406.1480281467413,2023-01-26,6c8314e0-9415-41e1-b609-1abafaeadbf2,PayPal,Completed,2023-01
3ec631ce-fa82-4f22-ad99-43ec72dee857,ec6cf0da-dfd1-4f3e-ad64-ff74d3d2e057,Clothing,4,287.4647254100652,1149.858901640261,2023-09-05,a19e5b44-3753-42fd-9ef4-8c25e90dcc05,Credit Card,Completed,2023-09
7b16ddcb-e572-4cda-8454-3bd4df02da49,2f0ad09f-cc53-4798-b853-b06f2a36f59d,Clothing,4,314.5981382981075,1258.39255319243,2023-01-19,e75e4f8e-cc1c-4ce4-a77d-8e3ea05facc6,Credit Card,Completed,2023-01
672ae50a-dade-4ea4-8e87-333ffe6e6188,830e02d0-9892-46c9-8bd6-6471ec1d2ea4,Books,3,396.7016363862191,1190.1049091586574,2023-12-25,0a1383bf-a95c-49f9-87c2-b5423c7e0c01,Credit Card,Completed,2023-12
9789ef75-7c78-4244-a8c1-26482f5a9263,3a01a8b5-c3fb-4895-9557-0af94a79ea19,Beauty & Health,2,430.4713700249416,860.9427400498831,2023-09-12,8ffab66b-51d9-47a2-8880-d3a213e3f02a,PayPal,Completed,2023-09
c9a5ed38-f706-4521-bbf6-f236d163b184,3a8948b7-d5b4-4ea1-83b0-43f99dde69b5,Sports & Outdoors,4,178.24601284787576,712.984051391503,2023-02-05,25901d74-68b0-4de5-b084-c2d71959aa7e,Gift Card,Completed,2023-02
c7b91b38-5ef4-4e62-a43b-0ad30c9a2c8a,e02b1aa5-30a2-4211-ad1c-d6bc57b80439,Beauty & Health,5,187.4364343999231,937.1821719996154,2023-03-30,69db864d-b2ab-4dd1-9b16-d277545a040b,Gift Card,Completed,2023-03
fd5d6ec2-be16-47aa-b31b-bb2ceebcfc30,f4f651df-02c7-4153-922e-eaea8c64a267,Books,5,93.3514434384566,466.75721719228306,2023-07-20,fd2aa30c-3d75-4a02-9d80-ec9b103da040,Gift Card,Completed,2023-07
c0a63188-8fd9-492d-9615-405fc5d93938,dfcb8406-c9e5-4ab2-8d99-f3261a19ac6c,Beauty & Health,3,420.0278443083574,1260.0835329250722,2023-12-28,c19eba3e-4d6a-4e27-b047-51d8705f4bf9,PayPal,Completed,2023-12
3472032e-d8d2-4480-8ba5-fc78d03948b8,c792673a-a80b-42be-9f64-5ed3a8d1b454,Books,1,47.80020097077277,47.80020097077277,2023-03-27,7c42a292-0b78-45d7-b3b3-110415004db9,Debit Card,Completed,2023-03
4d536e78-5632-4b2b-a209-6f673243a2f6,10be42a6-cf81-426f-a240-661c3db486d3,Beauty & Health,5,203.48556259551796,1017.4278129775898,2023-01-31,255237f1-cf16-4b68-ab2e-bde7be198954,Credit Card,Completed,2023-01
0086f42b-6e6f-4e3b-9c06-378ee8d874b5,ff650cfb-644c-4e0a-87e1-9ab8eee15f31,Home & Kitchen,1,64.48928648165258,64.48928648165258,2023-12-05,b02285df-dd58-4ac6-b624-d69266ed2c72,Credit Card,Completed,2023-12
